| objective_b9b59_00361 | TERMINATED | 10.203.25.110:558702 |   9 |  10 |   2 |      1 |          15.4897 |  96564.2  |
| objective_b9b59_00362 | TERMINATED | 10.203.25.110:558720 |  10 |  10 |   2 |      1 |          14.6066 | 102795    |
| objective_b9b59_00363 | TERMINATED | 10.203.25.110:558714 |   0 |   0 |   3 |      1 |          15.3716 |   2809.9  |
| objective_b9b59_00364 | TERMINATED | 10.203.25.110:558710 |   1 |   0 |   3 |      1 |          14.3449 |   4705.95 |
| objective_b9b59_00365 | TERMINATED | 10.203.25.110:558712 |   2 |   0 |   3 |      1 |          14.8355 |   4738.67 |
| objective_b9b59_00366 | TERMINATED | 10.203.25.110:558724 |   3 |   0 |   3 |      1 |          15.1996 |   6329.91 |
| objective_b9b59_00367 | TERMINATED | 10.203.25.110:558708 |   4 |   0 |   3 |      1 |          14.3255 |   4730.98 |
| objective_b9b59_00368 | TERMINATED | 10.203.25.110:558565 |   5 |   0 |   3 |      1 |          15.2584 |   4714.25 |
| objective_b9b59_00369 | TERMINATED | 10.203.25.110:558706 |   6 |   0 |   3 |      1 |          15.0163 |   4797.83 |
| objective_b9b59_00370 | TERMINATED | 10.203.25.110:558725 |   7 |   0 |   3 |      1 |          15.606  |   4823.96 |
| objective_b9b59_00371 | TERMINATED | 10.203.25.110:558716 |   8 |   0 |   3 |      1 |          16.2632 |   5179.07 |
| objective_b9b59_00372 | TERMINATED | 10.203.25.110:558728 |   9 |   0 |   3 |      1 |          15.5004 |   5267.66 |
| objective_b9b59_00373 | TERMINATED | 10.203.25.110:558704 |  10 |   0 |   3 |      1 |          15.8532 |   5210.15 |
| objective_b9b59_00374 | TERMINATED | 10.203.25.110:558722 |   0 |   1 |   3 |      1 |          15.6074 |   4444.59 |
| objective_b9b59_00375 | TERMINATED | 10.203.25.110:558718 |   1 |   1 |   3 |      1 |          15.8055 |   4781.29 |
| objective_b9b59_00376 | TERMINATED | 10.203.25.110:558729 |   2 |   1 |   3 |      1 |          15.1998 |  10356.9  |
| objective_b9b59_00377 | TERMINATED | 10.203.25.110:558720 |   3 |   1 |   3 |      1 |          16.0348 |   8486.04 |
| objective_b9b59_00378 | TERMINATED | 10.203.25.110:558702 |   4 |   1 |   3 |      1 |          15.2101 |   7420.88 |
| objective_b9b59_00379 | TERMINATED | 10.203.25.110:558710 |   5 |   1 |   3 |      1 |          16.2068 |   7538.45 |
| objective_b9b59_00380 | TERMINATED | 10.203.25.110:558714 |   6 |   1 |   3 |      1 |          15.3954 |   8031.32 |
| objective_b9b59_00381 | TERMINATED | 10.203.25.110:558712 |   7 |   1 |   3 |      1 |          15.8722 |   7288.86 |
| objective_b9b59_00382 | TERMINATED | 10.203.25.110:558724 |   8 |   1 |   3 |      1 |          15.7327 |   6476.05 |
| objective_b9b59_00383 | TERMINATED | 10.203.25.110:558708 |   9 |   1 |   3 |      1 |          16.3621 |   6898.45 |
| objective_b9b59_00384 | TERMINATED | 10.203.25.110:558565 |  10 |   1 |   3 |      1 |          15.5438 |   6794.85 |
| objective_b9b59_00385 | TERMINATED | 10.203.25.110:558706 |   0 |   2 |   3 |      1 |          14.274  | 242791    |
| objective_b9b59_00386 | TERMINATED | 10.203.25.110:558725 |   1 |   2 |   3 |      1 |          14.7179 |   5162.42 |
| objective_b9b59_00387 | TERMINATED | 10.203.25.110:558728 |   2 |   2 |   3 |      1 |          15.1919 |  13893.9  |
