WARNING:jax._src.lib.xla_bridge:No GPU/TPU found, falling back to CPU. (Set TF_CPP_MIN_LOG_LEVEL=0 and rerun for more info.)

  0%|          | 0/1000 [00:00<?, ?it/s]
loss:   424.0781 | loss_without_regu:   424.0781 | model_e4_train_mse:   424.0781 | train_loss:   424.0781 | :   0%|          | 0/1000 [00:17<?, ?it/s]
loss:   424.0781 | loss_without_regu:   424.0781 | model_e4_train_mse:   424.0781 | train_loss:   424.0781 | :   0%|          | 1/1000 [00:17<4:50:01, 17.42s/it]
loss:     0.8735 | loss_without_regu:     0.8735 | model_e4_train_mse:     0.8735 | train_loss:     0.8735 | :   2%|▏         | 18/1000 [00:46<14:50,  1.10it/s]
loss:     0.8735 | loss_without_regu:     0.8735 | model_e4_train_mse:     0.8735 | train_loss:     0.8735 | :   2%|▏         | 19/1000 [00:46<13:59,  1.17it/s]
loss:     0.8157 | loss_without_regu:     0.8157 | model_e4_train_mse:     0.8157 | train_loss:     0.8157 | :   2%|▏         | 19/1000 [00:47<13:59,  1.17it/s]
loss:     0.8157 | loss_without_regu:     0.8157 | model_e4_train_mse:     0.8157 | train_loss:     0.8157 | :   2%|▏         | 20/1000 [00:47<14:52,  1.10it/s]
loss:     0.8059 | loss_without_regu:     0.8059 | model_e4_train_mse:     0.8059 | train_loss:     0.8059 | :   2%|▏         | 20/1000 [00:49<14:52,  1.10it/s]
loss:     0.8059 | loss_without_regu:     0.8059 | model_e4_train_mse:     0.8059 | train_loss:     0.8059 | :   2%|▏         | 21/1000 [00:49<19:55,  1.22s/it]
loss:     0.8262 | loss_without_regu:     0.8262 | model_e4_train_mse:     0.8262 | train_loss:     0.8262 | :   2%|▏         | 21/1000 [00:51<19:55,  1.22s/it]
loss:     0.8262 | loss_without_regu:     0.8262 | model_e4_train_mse:     0.8262 | train_loss:     0.8262 | :   2%|▏         | 22/1000 [00:51<21:49,  1.34s/it]
loss:     0.8988 | loss_without_regu:     0.8988 | model_e4_train_mse:     0.8988 | train_loss:     0.8988 | :   2%|▏         | 22/1000 [00:52<21:49,  1.34s/it]
loss:     0.8988 | loss_without_regu:     0.8988 | model_e4_train_mse:     0.8988 | train_loss:     0.8988 | :   2%|▏         | 23/1000 [00:52<22:08,  1.36s/it]
